ID,Title,Type,Priority,Start Date,End Date,Status,Cycle Time (days),Current Age (days),Done ≤ 1 day,Done ≤ 7 days,Done ≤ 14 days,Done ≤ 21 days,Done ≤ 28 days
DONE-112,Fix incorrect tax calculation for cross-border transactions,Task,Lowest,2025-11-16,2025-11-22,Done,7,,false,true,true,true,true
DONE-39,Migrate from deprecated authentication library to current version,Task,Lowest,2025-11-20,2025-11-28,Done,9,,false,false,true,true,true
DONE-5,Fix security vulnerability in the file upload validation logic,Story,Lowest,2025-11-23,2025-12-09,Done,17,,false,false,false,true,true
DONE-144,Add dark mode support to the main application interface,Improvement,Lowest,2026-01-10,2026-01-16,Done,7,,false,true,true,true,true
DONE-52,Add comprehensive API documentation using OpenAPI specification,Improvement,Lowest,2026-01-21,2026-02-02,Done,13,,false,false,true,true,true
DONE-82,Improve search indexing performance for large datasets,Improvement,Lowest,2026-02-03,2026-02-05,Done,3,,false,true,true,true,true
DONE-59,Optimize SQL queries causing slow response times in production,Task,Lowest,2026-02-09,2026-03-01,Done,21,,false,false,false,true,true
DONE-21,Add audit logging for all user actions in the admin interface,Bug,Lowest,2026-02-14,2026-02-15,Done,2,,false,true,true,true,true
DONE-71,Refactor the notification service to use an event-driven pattern,Task,Lowest,2026-03-03,2026-03-12,Done,10,,false,false,true,true,true
DONE-74,Add accessibility improvements to comply with WCAG 2.1 standards,Task,Lowest,2026-03-09,2026-03-12,Done,4,,false,true,true,true,true
WIP-47,Implement event sourcing pattern for the order management domain,Task,Lowest,2026-03-10,,In Progress,,54,,,,,
WIP-17,Implement smart search with natural language processing capabilities,Improvement,Lowest,2026-03-21,,In Progress,,43,,,,,
WIP-18,Implement chaos engineering tests for resilience validation,Improvement,Lowest,2026-04-05,,In Progress,,28,,,,,
